Antigo Testamento
Livro	Capítulos	Versículos
Gênesis	50	1533
Êxodo	40	1213
Levítico	27	859
Números	36	1288
Deuteronômio	34	959
Josué	24	658
Juízes	21	618
Rute	4	85
1 Samuel	31	810
2 Samuel	24	695
1 Reis	22	816
2 Reis	25	719
1 Crônicas	29	942
2 Crônicas	36	822
Esdras	10	280
Neemias	13	406
Ester	10	167
Jó	42	1070
Salmos	150	2461
Provérbios	31	915
Eclesiastes	12	222
Cantares	8	117
Isaías	66	1292
Jeremias	52	1364
Lamentações	5	154
Ezequiel	48	1273
Daniel	12	357
Oséias	14	197
Joel	3	73
Amós	9	146
Obadias	1	21
Jonas	4	48
Miquéias	7	105
Naum	3	47
Habacuque	3	56
Sofonias	3	53
Ageu	2	38
Zacarias	14	211
Malaquias	4	55
Total Antigo Testamento	929	23.145
Novo Testamento
Livro	Capítulos	Versículos
Mateus	28	1071
Marcos	16	678
Lucas	24	1151
João	21	879
Atos dos Apóstolos	28	1007
Romanos	16	433
1 Coríntios	16	437
2 Coríntios	13	257
Gálatas	6	149
Efésios	6	155
Filipenses	4	104
Colossenses	4	95
1 Tessalonicenses	5	89
2 Tessalonicenses	3	47
1 Timóteo	6	113
2 Timóteo	4	83
Tito	3	46
Filemom	1	25
Hebreus	13	303
Tiago	5	108
1 Pedro	5	105
2 Pedro	3	61
1 João	5	105
2 João	1	13
3 João	1	15
Judas	1	25
Apocalipse	22	404
Total Novo Testamento	260	7.957
Total da Bíblia
Livro	Capítulos	Versículos
Bíblia	1189	31.102
